originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
kiup85eT-l*s,0,1,3,1,1,-1,5,78.65506622013166,Tkiupels85-*,64.11881900444354,14.536247215688128,18.481005629066008,0,0,4,0,0,-1,3,20,15,19,14,14,14,12,8,2,2
ro+3leyOUP+i,0,1,3,1,0,-2,3,78.65506622013166,OUProleyi3++,62.89642658310708,15.758639637024578,20.035123475607953,0,0,4,1,0,-1,4,22,17,22,17,17,17,12,9,1,2
qI5q#uWiaBRL,0,0,3,2,1,-1,5,78.65506622013166,IWBRLqquia5#,63.63339217727329,15.021674042858372,19.09816463801234,0,0,5,1,0,-1,5,22,19,22,19,18,18,12,10,1,1
tr@UTh8EZO9k,0,0,3,1,1,-1,4,78.65506622013166,UTEZOtrhk89@,62.311464082385925,16.343602137745734,20.7788295441834,0,0,5,1,0,-1,5,23,18,23,18,18,18,12,9,2,1
*le3l7ko?ZiE,1,0,4,1,1,-2,5,78.65506622013166,ZElelkoi37*?,62.311464082385925,16.343602137745734,20.7788295441834,0,0,4,1,0,-1,4,23,17,22,15,16,16,12,8,2,2
ziuth6et#@AB,0,1,3,1,1,-2,4,78.65506622013166,ABziuthet6#@,64.11881900444354,14.536247215688128,18.481005629066008,0,0,4,1,0,-1,4,20,17,20,17,16,16,12,9,1,2
Couph_Asto6H,0,0,4,0,1,-2,3,78.65506622013166,CAHouphsto6_,64.70378150516468,13.951284714966974,17.737299560490563,0,0,5,1,0,-1,5,20,17,20,17,16,16,12,10,1,1
stoAb$0spoa7,0,0,4,1,1,-2,4,78.65506622013166,Astobspoa07$,66.11881900444354,12.536247215688128,15.938257785713352,0,0,5,0,0,-1,4,16,14,16,14,14,14,12,9,2,1
mi$7lug3AqLU,0,0,3,1,1,-2,3,78.65506622013166,ALUmilugq73$,62.89642658310708,15.758639637024578,20.035123475607953,0,0,5,1,0,-1,5,19,16,19,16,16,16,12,9,2,1
tROudr2a=oeB,0,0,3,2,1,-2,4,78.65506622013166,ROBtudraoe2=,64.70378150516468,13.951284714966974,17.737299560490563,0,0,5,1,0,-1,5,20,17,20,17,15,15,12,10,1,1
co8T?oapRIap,0,0,3,1,1,-2,3,78.65506622013166,TRIcooapap8?,64.70378150516468,13.951284714966974,17.737299560490563,0,0,5,1,0,-1,5,19,16,19,16,16,16,12,10,1,1
br2*bri$bRla,0,1,3,1,0,-2,3,78.65506622013166,Rbrbribla2*$,66.11881900444354,12.536247215688128,15.938257785713352,0,0,4,0,0,-1,3,18,16,17,14,15,15,12,9,1,2
HOA*oad99Cri,0,0,4,1,1,-2,4,78.65506622013166,HOACoadri99*,62.311464082385925,16.343602137745734,20.7788295441834,0,0,5,1,0,-1,5,21,18,20,17,17,17,12,9,2,1
foABLa-i+Sp2,0,1,2,1,0,-1,3,78.65506622013166,ABLSfoaip2-+,62.311464082385925,16.343602137745734,20.7788295441834,0,0,4,1,0,-1,4,22,18,22,18,17,17,12,9,1,2
3oasplu-i9F_,0,0,4,0,1,-1,4,78.65506622013166,Foasplui39-_,64.11881900444354,14.536247215688128,18.481005629066008,0,0,4,0,0,-1,3,21,15,21,15,14,14,12,8,2,2
&oeZiaTl8ki3,1,0,5,1,1,-1,7,78.65506622013166,ZToeialki83&,64.11881900444354,14.536247215688128,18.481005629066008,0,0,5,1,0,-1,5,19,15,19,15,15,15,12,9,2,1
QLuprlu_r5ec,0,0,4,1,1,-2,4,78.65506622013166,QLuprlurec5_,66.11881900444354,12.536247215688128,15.938257785713352,0,0,5,1,0,-1,5,19,16,19,16,15,15,12,10,1,1
r3u*Ria#ieKl,0,1,3,1,1,-2,4,78.65506622013166,RKruiaiel3*#,64.11881900444354,14.536247215688128,18.481005629066008,0,0,4,1,0,-1,4,22,16,21,16,16,16,12,9,1,2
H9aSl_hoa=r9,0,1,3,1,1,-2,4,78.65506622013166,HSalhoar99_=,62.311464082385925,16.343602137745734,20.7788295441834,0,0,4,1,0,-1,4,23,16,23,16,15,15,12,8,2,2
+=unluz2Unou,1,0,4,0,1,-1,5,78.65506622013166,Uunluznou2+=,66.11881900444354,12.536247215688128,15.938257785713352,0,0,4,0,0,-1,3,18,15,18,15,14,14,12,9,1,2
b?UcIEp4ANiu,0,0,4,1,1,-1,5,78.65506622013166,UIEANbcpiu4?,63.63339217727329,15.021674042858372,19.09816463801234,0,0,5,1,0,-1,5,21,18,21,18,18,18,12,10,1,1
ci5vo*hL-ROe,0,1,2,2,1,-2,4,78.65506622013166,LROcivohe5*-,62.89642658310708,15.758639637024578,20.035123475607953,0,0,4,1,0,-1,4,22,18,21,16,16,16,12,9,1,2
*I1Hlujla?hO,1,0,3,1,1,-2,4,78.65506622013166,IHOlujlah1*?,62.89642658310708,15.758639637024578,20.035123475607953,0,0,4,1,0,-1,4,22,18,21,16,17,17,12,9,1,2
9*IAPH3utlEf,0,0,4,1,1,-1,5,78.65506622013166,IAPHEutlf93*,62.311464082385925,16.343602137745734,20.7788295441834,0,0,5,1,0,-1,5,22,19,21,18,18,18,12,9,2,1
w+efr45NiA$o,0,1,3,1,1,-1,5,78.65506622013166,NAwefrio45+$,62.311464082385925,16.343602137745734,20.7788295441834,0,0,4,1,0,-1,4,21,17,21,17,16,16,12,8,2,2
Wi7T$6ApoAho,0,0,3,1,1,-2,3,78.65506622013166,WTAAipoho76$,62.311464082385925,16.343602137745734,20.7788295441834,0,0,5,1,0,-1,5,20,17,20,17,17,17,12,9,2,1
FRo1riaria#r,0,0,4,1,1,-1,5,78.65506622013166,FRoriariar1#,66.11881900444354,12.536247215688128,15.938257785713352,0,0,5,1,0,-1,5,19,16,19,16,15,15,12,10,1,1
noAh*U9l_Wro,0,1,2,1,1,-2,3,78.65506622013166,AUWnohlro9*_,62.89642658310708,15.758639637024578,20.035123475607953,0,0,4,1,0,-1,4,23,17,22,17,17,17,12,9,1,2
splaSwi4y*eh,0,0,4,1,1,-2,4,78.65506622013166,Ssplawiyeh4*,68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,18,15,17,14,14,14,12,10,1,1
h1*bR=eswiED,0,1,2,2,0,-1,4,78.65506622013166,REDhbeswi1*=,62.89642658310708,15.758639637024578,20.035123475607953,0,0,4,1,0,-1,4,21,17,20,17,16,16,12,9,1,2
hlaQ2U4r!aso,0,0,3,1,1,-2,3,78.65506622013166,QUhlaraso24!,64.11881900444354,14.536247215688128,18.481005629066008,0,0,5,1,0,-1,5,20,15,20,15,15,15,12,9,2,1
niuq7a+6Avle,0,0,3,0,1,-2,2,78.65506622013166,Aniuqavle76+,66.11881900444354,12.536247215688128,15.938257785713352,0,0,5,0,0,-1,4,19,15,19,15,14,14,12,9,2,1
#lUspoazle2r,1,0,5,1,1,-1,7,78.65506622013166,Ulspoazler2#,68.28874400588585,10.366322214245816,13.17947172688613,0,0,5,0,0,-1,4,18,15,18,15,14,14,12,10,1,1
prlUf8=U1oAs,0,0,3,2,1,-2,4,78.65506622013166,UUAprlfos81=,62.89642658310708,15.758639637024578,20.035123475607953,0,0,5,1,0,-1,5,20,17,20,17,15,15,12,9,2,1
chiAph0U!Iap,0,0,3,1,1,-2,3,78.65506622013166,AUIchiphap0!,64.70378150516468,13.951284714966974,17.737299560490563,0,0,5,1,0,-1,5,19,16,19,16,16,16,12,10,1,1
xiaC6u=$ac6E,0,1,3,1,2,-2,5,78.65506622013166,CExiauac66=$,62.311464082385925,16.343602137745734,20.7788295441834,0,0,4,1,0,-1,4,22,17,22,17,15,15,12,8,2,2
