originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
J5VzdmZkAY5L,0,0,5,1,1,-1,6,78.65506622013166,JVZAYLzdmk55,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,-1,5,22,19,22,19,18,18,12,10,2,0
zbUTseRuJvSt,0,0,5,1,0,-1,5,78.65506622013166,UTRJSzbseuvt,69.02570960005205,9.62935662007961,12.242512889290518,0,0,5,1,0,-1,5,17,17,17,17,17,17,12,12,0,0
QNbyWrGuj9be,0,0,5,1,1,-1,6,78.65506622013166,QNWGbyrujbe9,66.70378150516468,11.951284714966972,15.194551717137905,0,0,5,1,0,-1,5,18,17,18,17,16,16,12,11,1,0
uUjnRfuEsaN2,0,0,5,1,0,-1,5,78.65506622013166,URENujnfusa2,66.70378150516468,11.951284714966972,15.194551717137905,0,0,5,1,0,-1,5,17,17,17,17,16,16,12,11,1,0
NaKL75zG996h,0,0,5,1,1,-1,6,78.65506622013166,NKLGazh75996,63.89642658310708,14.758639637024578,18.763749553931625,0,0,5,1,0,-1,5,20,17,20,17,16,16,12,7,5,0
R5M9MwPexkxd,0,0,5,1,1,-1,6,78.65506622013166,RMMPwexkxd59,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,-1,5,20,17,20,17,16,16,12,10,2,0
ECRhbLTsgcfK,0,0,5,1,0,-1,5,78.65506622013166,ECRLTKhbsgcf,68.8033171787156,9.851749041416058,12.525256814156133,0,0,5,1,0,-1,5,18,18,18,18,18,18,12,12,0,0
2wcZwUjFS6bf,0,0,5,1,1,-1,6,78.65506622013166,ZUFSwcwjbf26,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,-1,5,20,17,20,17,16,16,12,10,2,0
vR4HjwwwWQaG,0,0,5,1,1,-1,6,78.65506622013166,RHWQGvjwwwa4,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,19,18,19,18,17,17,12,11,1,0
ktY5gBas7HXS,0,0,5,1,1,-1,6,78.65506622013166,YBHXSktgas57,64.6333921772733,14.021674042858372,17.82679071633601,0,0,5,1,0,-1,5,21,18,21,18,17,17,12,10,2,0
psAxueGL6nkm,0,0,5,1,1,-1,6,78.65506622013166,AGLpsxuenkm6,67.70378150516468,10.951284714966972,13.923177795461578,0,0,5,1,0,-1,5,17,16,17,16,15,15,12,11,1,0
wHkPfWkkVHBQ,0,0,5,1,0,0,6,78.65506622013166,HPWVHBQwkfkk,69.02570960005205,9.62935662007961,12.242512889290518,0,0,5,1,0,0,6,19,19,19,19,19,19,12,12,0,0
YLUqhpMgaDDQ,0,0,5,1,0,-1,5,78.65506622013166,YLUMDDQqhpga,69.02570960005205,9.62935662007961,12.242512889290518,0,0,5,1,0,-1,5,19,19,19,19,19,19,12,12,0,0
ar7wJmgQMKC9,0,0,5,1,1,-1,6,78.65506622013166,JQMKCarwmg79,64.6333921772733,14.021674042858372,17.82679071633601,0,0,5,1,0,-1,5,20,18,20,18,17,17,12,10,2,0
AhrDHZpj2tqR,0,0,5,1,1,-1,6,78.65506622013166,ADHZRhrpjtq2,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,19,18,19,18,17,17,12,11,1,0
NvtQkuRZeD5z,0,0,5,1,1,-1,6,78.65506622013166,NQRZDvtkuez5,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,19,18,19,18,17,17,12,11,1,0
zjMvKW2ySjwr,0,0,5,1,1,-1,6,78.65506622013166,MKWSzjvyjwr2,66.70378150516468,11.951284714966972,15.194551717137905,0,0,5,1,0,-1,5,18,17,18,17,16,16,12,11,1,0
x2afHaa9nnKe,0,0,5,1,1,-1,6,78.65506622013166,HKxafaanne29,67.11881900444352,11.53624721568813,14.666883864037029,0,0,5,1,0,-1,5,18,15,18,15,14,14,12,10,2,0
f8ZmHmsNv4zs,0,0,5,1,1,-1,6,78.65506622013166,ZHNfmmsvzs84,65.70378150516468,12.951284714966972,16.465925638814234,0,0,5,1,0,0,6,19,16,19,16,15,15,12,10,2,0
DBj63UupmYL2,0,0,5,1,1,-1,6,78.65506622013166,DBUYLjupm632,63.89642658310708,14.758639637024578,18.763749553931625,0,0,5,1,0,-1,5,20,18,20,18,17,17,12,9,3,0
SZhb5dddzGP9,0,0,5,1,1,0,7,78.65506622013166,SZGPhbdddz59,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,0,6,19,17,19,17,16,16,12,10,2,0
WzLqtGYmcybn,0,0,5,1,0,-1,5,78.65506622013166,WLGYzqtmcybn,69.70378150516468,8.951284714966972,11.380429952108924,0,0,5,1,0,-1,5,16,16,16,16,16,16,12,12,0,0
DEaz9Faxdk4d,0,0,5,1,1,-1,6,78.65506622013166,DEFazaxdkd94,65.70378150516468,12.951284714966972,16.465925638814234,0,0,5,1,0,-1,5,19,16,19,16,15,15,12,10,2,0
CSxdns3Xf23s,0,0,5,1,1,0,7,78.65506622013166,CSXxdnsfs323,64.48138908382823,14.17367713630342,18.020043485356176,0,0,5,1,0,0,6,19,16,19,16,15,15,12,9,3,0
AJ7QfaCdbKf6,0,0,5,1,1,-1,6,78.65506622013166,AJQCKfadbf76,64.6333921772733,14.021674042858372,17.82679071633601,0,0,5,1,0,-1,5,20,18,20,18,17,17,12,10,2,0
YXVB9x7psFZj,0,0,5,1,1,-1,6,78.65506622013166,YXVBFZxpsj97,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,-1,5,22,19,22,19,18,18,12,10,2,0
nz7J2JbSGubw,0,0,5,1,1,-1,6,78.65506622013166,JJSGnzbubw72,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,-1,5,20,17,20,17,16,16,12,10,2,0
pJrF9KByd9vY,0,0,5,1,1,-1,6,78.65506622013166,JFKBYprydv99,64.6333921772733,14.021674042858372,17.82679071633601,0,0,5,1,0,-1,5,21,18,21,18,17,17,12,10,2,0
U8r893L8ebSM,0,0,5,1,1,-1,6,78.65506622013166,ULSMreb88938,63.89642658310708,14.758639637024578,18.763749553931625,0,0,5,1,0,-1,5,22,17,22,17,16,16,12,7,5,0
