originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
5GrdEEUDtzkm,0,0,5,1,0,-1,5,78.65506622013166,GEEUDrdtzkm5,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,19,18,19,18,17,17,12,11,1,0
A4HWcpUccTtW,0,0,5,1,1,-1,6,78.65506622013166,AHWUTWcpcct4,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,20,19,20,19,18,18,12,11,1,0
PHdW2yVkwegU,0,0,5,1,1,-1,6,78.65506622013166,PHWVUdykweg2,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,19,18,19,18,17,17,12,11,1,0
Bs5t74WySHNg,0,0,5,1,1,-1,6,78.65506622013166,BWSHNstyg574,63.89642658310708,14.758639637024578,18.763749553931625,0,0,5,1,0,-1,5,21,18,21,18,17,17,12,9,3,0
WP9a5q3a5ZZ2,0,0,5,1,1,0,7,78.65506622013166,WPZZaqa95352,63.89642658310708,14.758639637024578,18.763749553931625,0,0,5,1,0,-1,5,25,17,25,17,16,16,12,7,5,0
DtzB38LUCEu7,0,0,5,1,1,-1,6,78.65506622013166,DBLUCEtzu387,64.48138908382823,14.17367713630342,18.020043485356176,0,0,5,1,0,-1,5,21,19,21,19,18,18,12,9,3,0
gc5dNFuFWT3f,0,0,5,1,1,-1,6,78.65506622013166,NFFWTgcduf53,64.6333921772733,14.021674042858372,17.82679071633601,0,0,5,1,0,-1,5,21,18,21,18,17,17,12,10,2,0
kFr98dVS5xQ9,0,0,5,1,1,0,7,78.65506622013166,FVSQkrdx9859,63.57449848821972,15.080567731911938,19.173040538426356,0,0,5,1,0,0,6,21,17,21,17,16,16,12,8,4,0
EQswj5jBD9ZJ,0,0,5,1,1,-1,6,78.65506622013166,EQBDZJswjj59,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,-1,5,22,19,22,19,18,18,12,10,2,0
cfU54p3zp6FG,0,0,5,1,1,-1,6,78.65506622013166,UFGcfpzp5436,63.89642658310708,14.758639637024578,18.763749553931625,0,0,5,1,0,-1,5,21,16,21,16,15,15,12,8,4,0
HFBxtcE4xUfw,0,0,5,1,1,-1,6,78.65506622013166,HFBEUxtcxfw4,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,19,18,19,18,17,17,12,11,1,0
LK3hH2fMQUMq,0,0,5,1,1,-1,6,78.65506622013166,LKHMQUMhfq32,65.70378150516468,12.951284714966972,16.465925638814234,0,0,5,1,0,-1,5,23,20,23,20,19,19,12,10,2,0
rH8DDCjR94SK,0,0,5,1,1,0,7,78.65506622013166,HDDCRSKrj894,65.70378150516468,12.951284714966972,16.465925638814234,0,0,5,1,0,0,6,23,20,23,20,19,19,12,9,3,0
kFEVm5UbBmTw,0,0,5,1,1,-1,6,78.65506622013166,FEVUBTkmbmw5,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,20,19,20,19,18,18,12,11,1,0
5UUebR3vxcMT,0,0,5,1,1,-1,6,78.65506622013166,UURMTebvxc53,64.6333921772733,14.021674042858372,17.82679071633601,0,0,5,1,0,-1,5,21,18,21,18,17,17,12,10,2,0
2keDCQLUFxZd,0,0,5,1,0,-1,5,78.65506622013166,DCQLUFZkexd2,66.70378150516468,11.951284714966972,15.194551717137905,0,0,5,1,0,-1,5,21,20,21,20,19,19,12,11,1,0
L83t6Nep4kHF,0,0,5,1,1,-1,6,78.65506622013166,LNHFtepk8364,63.57449848821972,15.080567731911938,19.173040538426356,0,0,5,1,0,-1,5,22,17,22,17,16,16,12,8,4,0
pkDV8c4JMTdL,0,0,5,1,1,0,7,78.65506622013166,DVJMTLpkcd84,64.89642658310709,13.758639637024578,17.492375632255296,0,0,5,1,0,0,6,22,19,22,19,18,18,12,10,2,0
4gFpEtjE78ge,0,0,5,1,1,-1,6,78.65506622013166,FEEgptjge478,64.48138908382823,14.17367713630342,18.020043485356176,0,0,5,1,0,-1,5,19,16,19,16,15,15,12,9,3,0
8RV5xjd3DNks,0,0,5,1,1,0,7,78.65506622013166,RVDNxjdks853,63.89642658310708,14.758639637024578,18.763749553931625,0,0,5,1,0,0,6,22,17,22,17,16,16,12,9,3,0
9RgDhMeWxJmc,0,0,5,1,0,-1,5,78.65506622013166,RDMWJghexmc9,66.21835467799444,12.436711542137214,15.811710726084232,0,0,5,1,0,-1,5,19,18,19,18,17,17,12,11,1,0
t6vVKEWtvP5b,0,0,5,1,1,-1,6,78.65506622013166,VKEWPtvtvb65,64.6333921772733,14.021674042858372,17.82679071633601,0,0,5,1,0,-1,5,21,18,21,18,17,17,12,10,2,0
