originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
9/bank/right/entire/Congo/main/truck?,0,9,10,0,0,-6,13,242.51978751207258,Cbankrightentireongomaintruck9//////?,209.45940928471188,33.06037822736071,13.632033314277486,0,9,5,0,0,-1,13,51,39,51,39,39,39,37,29,1,7
2:shall:into:told:material:science:yellow$,0,9,12,0,0,-6,15,275.29273177046076,shallintotoldmaterialscienceyellow2::::::$,245.47815115024179,29.81458062021899,10.830137224646528,0,9,5,0,0,-1,13,55,43,55,43,49,49,42,34,1,7
9=moon=friend=spell=grave=various=judge&,0,9,12,0,0,-6,15,262.1835540671055,moonfriendspellgravevariousjudge9======&,232.98698591367454,29.19656815343094,11.135926605815298,0,9,5,0,0,-1,13,59,43,59,43,41,41,40,32,1,7
6$finished$notice$draw$corner$fifteen$done$,0,9,12,0,0,-6,15,281.84732062213845,finishednoticedrawcornerfifteendone6$$$$$$$,251.73575826416234,30.111562357976123,10.68364329010085,0,9,5,0,0,-1,13,56,44,56,44,50,50,43,35,1,7
5+snow+want+fancy+continue+week+land%,0,9,9,0,0,-6,12,242.51978751207258,snowwantfancycontinueweekland5++++++%,214.31739027983946,28.202397232233135,11.628905633454435,0,9,5,0,0,-1,13,57,39,57,39,44,44,37,29,1,7
5!dream!explain!church!clock!winter!wedge$,0,9,13,0,0,-6,16,275.29273177046076,dreamexplainchurchclockwinterwedge5!!!!!!$,245.47815115024179,29.81458062021899,10.830137224646528,0,9,5,0,0,-1,13,55,43,55,43,49,49,42,34,1,7
2-brother-fool-Moon-free-December-plain!,0,9,11,0,0,-6,14,262.1835540671055,MDbrotherfooloonfreeecemberplain2------!,224.03278960328768,38.150764463817815,14.55116610939418,0,9,5,1,0,-1,14,55,43,55,43,43,43,40,32,1,7
3!square!common!bottom!slow!Hawaii!divide_,0,9,11,0,0,-6,14,275.29273177046076,Hsquarecommonbottomslowawaiidivide3!!!!!!_,240.39068830899143,34.90204346146933,12.678156534321683,0,9,5,0,0,-1,13,57,45,57,45,50,50,42,34,1,7
0$letter$next$rain$want$till$news!,0,9,7,0,0,-6,10,222.8560209570397,letternextrainwanttillnews0$$$$$$!,195.74206168947416,27.11395926756555,12.166581432768357,0,9,5,0,0,-1,13,47,35,47,35,41,41,34,26,1,7
8/provide/clothes/equal/sugar/even/among-,0,9,13,0,0,-6,16,268.7381429187831,provideclothesequalsugarevenamong8//////-,239.22841688009254,29.509726038690573,10.980847645288996,0,9,5,0,0,-1,13,54,42,54,42,41,41,41,33,1,7
